iter	Passed	Remaining
0	144	144751
1	145	72733
2	146	48704
3	147	36720
4	148	29572
5	149	24774
6	150	21337
7	151	18753
8	151	16730
9	153	15177
10	154	13905
11	156	12849
12	157	11942
13	158	11180
14	159	10486
15	160	9858
16	160	9308
17	161	8819
18	162	8384
19	163	7989
20	164	7649
21	165	7348
22	165	7048
23	166	6772
24	167	6523
25	167	6289
26	168	6072
27	169	5878
28	170	5714
29	171	5545
30	172	5380
31	172	5225
32	173	5081
33	174	4944
34	174	4817
35	175	4706
36	176	4594
37	177	4485
38	177	4380
39	178	4280
40	178	4185
41	179	4093
42	180	4006
43	180	3929
44	181	3857
45	182	3782
46	182	3710
47	183	3642
48	184	3577
49	184	3513
50	185	3453
51	186	3398
52	187	3351
53	188	3300
54	189	3249
55	189	3200
56	190	3152
57	191	3103
58	191	3061
59	192	3021
60	193	2982
61	194	2944
62	195	2904
63	195	2864
64	196	2833
65	198	2812
66	199	2784
67	201	2762
68	202	2737
69	204	2720
70	205	2695
71	206	2665
72	207	2636
73	209	2620
74	211	2609
75	213	2591
76	216	2600
77	218	2585
78	220	2568
79	222	2564
80	224	2550
81	226	2533
82	227	2516
83	229	2507
84	231	2493
85	234	2487
86	236	2477
87	239	2477
88	240	2465
89	242	2451
90	246	2459
91	247	2443
92	250	2440
93	252	2430
94	253	2412
95	255	2408
96	258	2407
97	261	2407
98	263	2395
99	264	2384
100	267	2377
101	268	2362
102	269	2347
103	271	2337
104	273	2335
105	275	2325
106	277	2316
107	281	2321
108	283	2317
109	285	2313
110	287	2301
111	289	2295
112	291	2285
113	294	2285
114	296	2280
115	297	2269
116	299	2257
117	300	2247
118	301	2235
119	303	2224
120	304	2214
121	305	2201
122	307	2193
123	308	2182
124	310	2172
125	311	2158
126	312	2146
127	314	2142
128	316	2135
129	317	2124
130	318	2114
131	321	2112
132	322	2103
133	323	2089
134	324	2079
135	326	2074
136	327	2065
137	330	2062
138	331	2055
139	333	2046
140	334	2036
141	335	2026
142	336	2017
143	337	2008
144	339	1999
145	340	1989
146	341	1983
147	343	1975
148	344	1967
149	345	1957
150	346	1946
151	347	1937
152	349	1932
153	350	1925
154	351	1917
155	353	1913
156	355	1907
157	356	1900
158	357	1890
159	358	1880
160	358	1869
161	360	1863
162	361	1856
163	362	1847
164	363	1837
165	363	1827
166	365	1824
167	367	1820
168	368	1814
169	370	1810
170	373	1809
171	374	1804
172	376	1800
173	377	1794
174	393	1854
175	395	1850
176	397	1846
177	398	1840
178	400	1837
179	402	1833
180	404	1828
181	405	1821
182	406	1813
183	409	1815
184	411	1812
185	414	1813
186	417	1813
187	418	1806
188	420	1804
189	422	1799
190	423	1792
191	425	1790
192	426	1784
193	428	1780
194	429	1773
195	431	1770
196	433	1765
197	434	1760
198	436	1758
199	437	1750
200	438	1745
201	439	1738
202	441	1732
203	442	1726
204	443	1720
205	445	1715
206	446	1709
207	447	1702
208	448	1697
209	450	1694
210	451	1688
211	452	1683
212	454	1677
213	455	1672
214	457	1669
215	459	1667
216	461	1664
217	463	1661
218	464	1655
219	465	1648
220	466	1644
221	467	1638
222	468	1633
223	470	1628
224	470	1621
225	472	1616
226	473	1612
227	474	1607
228	475	1601
229	476	1594
230	477	1588
231	478	1583
232	479	1578
233	480	1573
234	481	1567
235	482	1561
236	483	1556
237	484	1551
238	485	1546
239	486	1541
240	487	1536
241	488	1530
242	489	1525
243	491	1522
244	492	1517
245	493	1512
246	494	1506
247	495	1501
248	496	1497
249	497	1492
250	498	1488
251	500	1485
252	502	1484
253	504	1480
254	505	1476
255	506	1471
256	507	1468
257	509	1465
258	510	1460
259	511	1455
260	512	1449
261	512	1444
262	514	1440
263	515	1436
264	516	1431
265	516	1426
266	517	1420
267	518	1415
268	519	1411
269	520	1407
270	521	1402
271	522	1398
272	523	1392
273	523	1388
274	524	1383
275	526	1379
276	527	1376
277	528	1372
278	529	1367
279	530	1363
280	531	1359
281	532	1355
282	533	1352
283	534	1347
284	534	1341
285	535	1337
286	536	1333
287	538	1330
288	539	1327
289	540	1322
290	541	1318
291	541	1313
292	542	1310
293	544	1306
294	545	1302
295	545	1298
296	546	1293
297	547	1289
298	548	1285
299	549	1282
300	551	1279
301	552	1275
302	552	1271
303	553	1267
304	554	1264
305	555	1260
306	557	1258
307	558	1254
308	559	1250
309	559	1246
310	561	1243
311	562	1239
312	563	1236
313	564	1233
314	565	1229
315	566	1226
316	568	1224
317	569	1222
318	571	1219
319	573	1219
320	574	1215
321	575	1212
322	576	1209
323	578	1206
324	579	1203
325	580	1200
326	581	1196
327	582	1192
328	583	1189
329	584	1187
330	586	1185
331	587	1182
332	589	1181
333	591	1179
334	592	1176
335	593	1173
336	594	1169
337	595	1165
338	596	1163
339	597	1160
340	598	1157
341	599	1153
342	600	1149
343	601	1146
344	602	1143
345	603	1140
346	604	1137
347	605	1134
348	606	1130
349	607	1127
350	608	1124
351	609	1121
352	610	1118
353	610	1114
354	611	1110
355	612	1107
356	613	1104
357	614	1102
358	615	1099
359	616	1096
360	617	1092
361	617	1089
362	618	1086
363	620	1083
364	621	1080
365	621	1077
366	622	1073
367	623	1070
368	623	1066
369	625	1064
370	626	1061
371	627	1059
372	628	1056
373	629	1053
374	629	1049
375	630	1046
376	631	1044
377	632	1041
378	633	1038
379	634	1035
380	635	1031
381	636	1029
382	637	1026
383	638	1023
384	639	1021
385	639	1017
386	640	1014
387	641	1011
388	641	1007
389	642	1004
390	643	1002
391	645	1000
392	645	997
393	646	994
394	647	991
395	647	987
396	648	985
397	649	982
398	650	979
399	651	977
400	652	974
401	652	971
402	653	968
403	654	965
404	655	962
405	656	959
406	657	957
407	658	954
408	658	951
409	659	949
410	660	946
411	661	944
412	663	942
413	664	940
414	665	938
415	667	937
416	668	935
417	670	933
418	671	931
419	673	929
420	674	927
421	675	925
422	676	922
423	678	922
424	679	919
425	680	917
426	681	914
427	682	912
428	683	909
429	684	907
430	686	906
431	687	903
432	687	900
433	688	897
434	689	895
435	690	893
436	692	891
437	693	889
438	693	886
439	694	883
440	695	881
441	696	879
442	697	877
443	698	874
444	699	872
445	699	869
446	700	867
447	701	864
448	702	862
449	703	860
450	704	857
451	705	855
452	706	853
453	708	851
454	709	849
455	710	847
456	711	845
457	711	842
458	712	840
459	714	838
460	715	836
461	716	834
462	717	832
463	718	829
464	720	828
465	721	827
466	722	824
467	723	822
468	724	819
469	725	817
470	726	815
471	727	813
472	728	811
473	728	808
474	729	806
475	730	804
476	731	802
477	733	800
478	734	798
479	735	796
480	735	793
481	736	791
